"","RouteID","StartDestName","EndDestName","CarJourneys","","","StartDestID","EndDestID","CarTarvellers","BusJourneys","BusTarvellers","FootJourneys","FootTarvellers","BoatJourneys","BoatTarvellers","CycleJourneys","CycleTarvellers","TrainJourneys","TrainTarvellers","MotorbikeJourneys","MotorbikeTravellers","TotalJourneys","TotalTravellers"
"1",NA,NA,NA,1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","B33334-33510","Grasmere","Ambleside",38,0.026045236463331,0.026045236463331,33334,33510,109,16,69,21,65,0,0,3,7,1,5,0,0,79,258
"3","B33364-33510","Langdales","Ambleside",38,0.026045236463331,0.0520904729266621,33364,33510,116,1,7,3,12,0,0,0,0,0,0,0,0,43,136
"4","B33431-33510","Windermere","Ambleside",29,0.019876627827279,0.0719671007539411,33431,33510,77,18,84,7,13,5,11,0,0,0,0,0,0,59,184
"5","B33510-33558","Ambleside","Keswick",28,0.0191912268677176,0.0911583276216587,33510,33558,81,6,11,1,3,1,2,0,0,0,0,0,0,35,96
"6","B33334-33558","Grasmere","Keswick",27,0.0185058259081563,0.109664153529815,33334,33558,91,6,32,1,2,0,0,0,0,0,0,0,0,34,125
"7","B33430-33431","Bowness","Windermere",25,0.0171350239890336,0.126799177518849,33430,33431,60,22,46,45,100,5,57,1,1,0,0,0,0,95,256
"8","B33314-33510","Low Wood","Ambleside",24,0.0164496230294722,0.143248800548321,33314,33510,63,8,16,10,50,8,31,0,0,0,0,0,0,50,160
"9","B33430-33510","Bowness","Ambleside",23,0.0157642220699109,0.159013022618232,33430,33510,63,8,25,9,30,56,194,0,0,0,0,0,0,90,339
"10","B33334-33430","Grasmere","Bowness",20,0.0137080191912269,0.172721041809459,33334,33430,70,4,104,2,11,1,5,0,0,0,0,0,0,25,180
"11","B33358-33510","Low Arnside, Coniston","Ambleside",20,0.0137080191912269,0.186429061000685,33358,33510,55,6,49,2,6,0,0,0,0,0,0,0,0,28,107
"12","B33334-33434","Grasmere","Kendal",19,0.0130226182316655,0.199451679232351,33334,33434,34,6,12,0,0,0,0,0,0,0,0,0,0,26,48
"13","B33314-33430","Low Wood","Bowness",17,0.0116518163125428,0.211103495544894,33314,33430,57,1,2,0,0,4,38,0,0,0,0,0,0,22,97
"14","B33314-33431","Low Wood","Windermere",15,0.0102810143934202,0.221384509938314,33314,33431,32,3,6,0,0,1,3,0,0,0,0,0,0,19,41
"15","B33358-33430","Low Arnside, Coniston","Bowness",14,0.00959561343385881,0.230980123372173,33358,33430,36,1,1,0,0,1,2,0,0,0,0,0,0,15,37
"16","B33507-33510","Hawkshead","Ambleside",13,0.00891021247429746,0.23989033584647,33507,33510,29,3,11,1,2,1,1,1,1,0,0,0,0,18,42
"17","B33364-33431","Langdales","Windermere",12,0.00822481151473612,0.248115147361206,33364,33431,37,0,0,0,0,0,0,0,0,0,0,0,0,12,37
"18","B33358-33431","Low Arnside, Coniston","Windermere",11,0.00753941055517478,0.255654557916381,33358,33431,29,3,4,1,2,1,3,0,0,0,0,0,0,14,33
