description,latitude,longitude,4,hirePoint,chargePoint,accommodation,foodAndDrink,place,numberElectricBikes,regularBikes,url,image,address
"The UK’s largest cycle store and online retailer with over 400 bikes. Nearby cafes, pub, galleries, shops. Hires standard bikes too. Drop in or book ahead for hire.",54.377388,-2.814941,707,1,1,0,0,"Wheelbase, Staveley",2,10+,http://www.electricbicyclenetwork.com/Listings/wheelbase-mill-yard-staveley-kendal-cumbria-la8-9lr/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/wheelbase.jpg,"Mill Yard, Staveley, Kendal, Cumbria LA8 9LR"
"Sited on the shore of Windermere a perfect family day out with everything from adventure playgrounds, shop, cafe, restaurant, activities, events, exhibitions and lots more!",54.402471,-2.943842,822,1,1,0,1,"Brockhole Visitor Centre, Windermere",4,4+,http://www.electricbicyclenetwork.com/Listings/brockhole-visitor-centre-windermere/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/BrockholeVisitorCentre1.jpg,"Windermere, Cumbria LA23 1LJ"
"A 17th century coaching Inn in the heart of the Winster Valley - serving food and drink indoors or out, on the terrace and beer garden.",54.298635,-2.895947,826,0,1,1,1,"Hare and Hounds, Bowland Bridge",0,0,http://www.electricbicyclenetwork.com/Listings/hare-and-hounds-bowland-bridge/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/hare-and-hounds-bowland-bridge1.jpg,"Bowland Bridge, Grange-over-Sands, Cumbria LA11 6NN"
"4-star hotel on southern shores of Lake Windermere. Enjoy coffee, lunch, tea or dinner in stunning conservatory or lakeside garden.",54.279131,-2.956852,882,1,1,1,1,"Lakeside Hotel &#038; Spa, nr. Newby Bridge",2,0,http://www.electricbicyclenetwork.com/Listings/lakeside-hotel-nr-newby-bridge/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Lakeside-Hotel-frontage3.jpg,"Lakeside Hotel & Spa, Lake Windermere, Nr. Newby Bridge, Cumbria LA12 8AT"
"Hire an electric self-drive boat, rowing boat, sailing dingy, go canoeing or kayaking. Picnic on the lake shore or check out other lake attractions including a cafe, launches and adventure activities. Also hire regular mountain bikes.",54.363733,-3.066688,890,1,1,0,1,"Coniston Boating Centre, Coniston",4,10+,http://www.electricbicyclenetwork.com/Listings/coniston-boating-centre-coniston/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/ConistonBoatingCentre1.jpg,"Coniston Boating Centre, Coniston Water, Cumbria LA21 8EW"
"Burnside Park luxury self catering accommodation is notable for its prime location in Bowness on Windermere, right at the heart of the English Lake District. The resort nestles in mature gardens just three hundred meters from the shore of Lake Windermere; a short stroll from the lovely village of Bowness on Windermere.",54.360716,-2.919227699999965,4504,1,1,1,1,"Burnside Park, Bowness",3,0,http://www.electricbicyclenetwork.com/Listings/burnside-park/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/HAPIMAGFINAL-150x150.jpg,"The Lodge, Kendal Road, Bowness on Windermere, Cumbria, LA23 3EW."
"The Waterhead Hotel, near Ambleside provides a prime position on the shores of Lake Windermere provides a relaxed, intimate atmosphere in which to enjoy a drink and something to eat.",54.420228,-2.961974,917,0,1,1,1,"Waterhead Hotel, Ambleside",0,0,http://www.electricbicyclenetwork.com/Listings/waterhead-hotel-ambleside/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/WaterheadHotelAmbleside1.jpg,"Waterhead Hotel, Ambleside, Cumbria LA22 0ER"
"Traditional lakeland pub with stone flagged floor, open fire and real ale. Well known for good food it is regularly featured in the Good Beer Guide.",54.437766,-3.046539,920,0,1,1,1,"Wainwrights&#8217; Inn, Chapel Stile",0,0,http://www.electricbicyclenetwork.com/Listings/wainwrights-inn-chapel-stile/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/Wainwrights-Inn-FINAL1.jpg,"Wainwrights\' Inn, Great Langdale, Cumbria LA22 9JD"
"19th century inn nestled in the beautiful Little Langdale Valley. Enjoy fresh Lakeland produce - local ales, home cooked lunch, tea and dinner. Sit inside or outside for amazing views over the Tilbertwaite Fells.",54.421415,-3.054717,923,0,1,1,1,"Three Shires Inn, Little Langdale",0,0,http://www.electricbicyclenetwork.com/Listings/three-shires-inn-little-langdale/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/ThreeShiresFINALpix1.jpg,"Three Shires Inn, Little Langdale, Cumbria LA22 9NZ"
"Historic country house and gallery set in spacious grounds. Magnificent views across Esthwaite Valley. Home made soups, light lunches, cakes, hot and cold drinks.",54.383956,-3.017979,928,0,1,0,1,"Betty Fold Tea Room, Tarn Hows",0,0,http://www.electricbicyclenetwork.com/Listings/betty-fold-tea-room-tarn-hows/,http://www.electricbicyclenetwork.com/manage/wp-content/uploads/BettysFoldTeaRoom1.jpg,"Betty Fold Tea Room, Hawkshead Hill, Hawkshead, Cumbria LA22 0PS"
